Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine,Age
MG,3,otros,USD,4800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mg/3/pe/RT_PU_9967203c62d346c2bc4d82eae0afb9c1.webp,2014,85000.0,gasolina,mecanica,Lima,blanco,4.0,tela,1498.0,10
KIA,CERATO,otros,USD,7999.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_a1a8e1382a5f4430b875dc23f41f42e0.webp,2014,156000.0,gasolina,automatica,Lima,azul,4.0,tela,1591.0,10
TOYOTA,RAV4,4x2,USD,8800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_f41404e57e4748c1856f1eeff0eeb3ba.webp,2018,17000.0,gasolina,mecanica,Provincias,plata,4.0,tela,1987.0,6
MAZDA,3 SPORT,premium,USD,5390.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sport/pe/RT_PU_bbf07f5feb7546558dfe5d807295e4da.webp,2015,36000.0,gasolina,automatica,Provincias,rojo,4.0,cuero,2497.0,9
FORD,TERRITORY,premium,USD,24900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/territory/pe/RT_PU_1d3680dcf9c74dee81aaa9c137f4589b.webp,2021,29300.0,gasolina,automatica,Lima,blanco,4.0,cuero,1500.0,3
HYUNDAI,I10,otros,USD,6250.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/i10/pe/RT_PU_871ee1bda40f4c769fd1ba57c16f4b56.webp,2011,89000.0,gasolina,mecanica,Lima,negro,4.0,tela,1086.0,13
HYUNDAI,SONATA,otros,USD,2500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/sonata/pe/RT_PU_1d315af04a0243d2bdf05709a730c833.webp,2003,300000.0,gasolina,otros,Provincias,plata,,otros,,21
BMW,SERIE 4 GRAN COUPÉ,otros,USD,45000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-4-gran-coupe/pe/RT_PU_b631e91451ef43219754e12a8dc185a4.webp,2023,1110.0,gasolina,automatica,Lima,blanco,4.0,tela,1998.0,1
NISSAN,VERSA,otros,USD,14500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/versa/pe/RT_PU_8d36a7e998b34de2ab230ce7f2208a47.webp,2022,38200.0,gasolina,automatica,Lima,plata,4.0,tela,1598.0,2
TOYOTA,CAMRY,otros,USD,2600.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/camry/pe/RT_PU_2100f642b3a2448db64bcae9d26ea8a1.webp,1994,280000.0,gasolina,otros,Provincias,gris,,otros,,30
JEEP,COMPASS,otros,USD,12300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_c38324eb97064e0ab762baa452a1d8bf.webp,2013,99000.0,gasolina,mecanica,Lima,plata,4.0,cuero,1998.0,11
GEELY,OKAVANGO,otros,USD,22000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/okavango/pe/RT_PU_400fbb2a54624ac788f1fa41b2545fdb.webp,2023,24137.0,,automatica,Lima,gris,,cuero,,1
JEEP,PATRIOT,premium,USD,7500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/patriot/pe/RT_PU_c7c04e729fdd4d3583ebff0eca7ac410.webp,2008,113188.0,gasolina,automatica,Lima,azul,4.0,cuero,2359.0,16
MAZDA,3 SEDÁN,otros,PEN,12500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sedan/pe/RT_PU_384bc6a0771d4caeb70559b96cc4d6a0.webp,2017,118000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1999.0,7
HONDA,CIVIC,otros,USD,4300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_9a5c0e04f483464aa9bbc43c85a75a62.webp,1993,60000.0,gasolina,automatica,Lima,otro,4.0,tela,1498.0,31
CHEVROLET,PRISMA,premium,USD,7000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_fea6b1bd4a07461f80d5f9e0a3124766.webp,2019,172000.0,gasolina,mecanica,Lima,gris,4.0,tela_cuero,1389.0,5
NISSAN,KICKS,otros,USD,8700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/kicks/pe/RT_PU_5fa988a8b8aa41e4ac84d1679e2aa665.webp,2008,70000.0,gasolina,mecanica,Lima,plata,4.0,cuero,1598.0,16
KIA,RIO HATCHBACK,premium,USD,11500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-hatchback/pe/RT_PU_080cea50567b42689f10a812e89fa413.webp,2017,56300.0,gasolina,mecanica,Lima,plata,4.0,tela,1368.0,7
JEEP,GRAND CHEROKEE,4x4,USD,36000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_a89ad5f49259498f8f3014b118aa087a.webp,2020,15000.0,gasolina,automatica,Lima,otro,6.0,tela,3604.0,4
NISSAN,SENTRA,otros,USD,2700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_6d6f2849dcc14382ba779d0dbc66871c.webp,1991,190000.0,gasolina,mecanica,Lima,rojo,4.0,tela,1997.0,33
VOLKSWAGEN,CROSSFOX,otros,PEN,37000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_bc6257f6fef740488210914d037b19eb.webp,2018,42000.0,gasolina,mecanica,Provincias,gris,4.0,tela,1598.0,6
TOYOTA,COROLLA CROSS,otros,USD,22500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla-cross/pe/RT_PU_4323b8e855744829a3c1f80fb8c0d975.webp,2023,14500.0,diesel,automatica,Lima,blanco,4.0,tela,1987.0,1
TOYOTA,COROLLA,otros,USD,13000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_c89d654eb8b5409ea15e191398cbe26f.webp,2007,158000.0,gasolina,otros,Lima,negro,4.0,tela,1987.0,17
FOTON,TUNLAND,4x4,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/foton/tunland/pe/RT_PU_20641f8596ba4d0cae1ad1b477974f73.webp,2017,191107.0,diesel,mecanica,Lima,blanco,4.0,tela,2776.0,7
JEEP,GRAND CHEROKEE,premium,USD,12300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_8ad659b9e6bb44ff9a7c742af93084da.webp,2012,97000.0,gasolina,automatica,Lima,negro,6.0,cuero,3604.0,12
VOLKSWAGEN,CROSSFOX,otros,USD,8400.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_4c3074beb31340cd91fa0557f93a6b2c.webp,2015,125000.0,gasolina,mecanica,Lima,otro,4.0,tela,1598.0,9
VOLKSWAGEN,GOL,otros,USD,13200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_e68eaff964c44881a754292a8c0d73d1.webp,2022,14500.0,gasolina,mecanica,Provincias,gris,4.0,tela,1596.0,2
MERCEDES BENZ,CLASE C,otros,USD,11900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mercedes-benz/clase-c/pe/RT_PU_c9c12ae00e484058b3665be56e100c2b.webp,2012,113600.0,gasolina,automatica,Lima,blanco,4.0,cuero,1496.0,12
JEEP,GRAND CHEROKEE,premium,USD,9900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_897e8d62a606485da0b9aa3c24ea7c32.webp,2009,145000.0,gasolina,otros,Lima,otro,,otros,,15
VOLKSWAGEN,GOLF,otros,USD,1500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/golf/pe/RT_PU_bdde10e8a3f6499faca2715723a0e2f0.webp,1998,184000.0,gasolina,mecanica,Provincias,negro,4.0,tela,1595.0,26
BMW,SERIE 3,otros,USD,12800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-3/pe/RT_PU_2878e0d293634c35bc989f2faf5f96ba.webp,2015,87000.0,gasolina,automatica,Lima,negro,4.0,otros,1900.0,9
AUDI,A4,otros,USD,23500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/audi/a4/pe/RT_PU_7f60c1d6dcdd4b31ac6d467f8be6cae9.webp,2017,33096.0,gasolina,mecanica,Lima,plata,4.0,cuero,1984.0,7
CHEVROLET,N300 MAX,otros,USD,8000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/n300-max/pe/RT_PU_3904d44d78b74d6bae7bd8dab4599571.webp,2017,79771.0,gasolina,mecanica,Lima,blanco,4.0,tela,1200.0,7
FIAT,UNO WAY,otros,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/fiat/uno-way/pe/RT_PU_fbea39ac86964628a454c0401af12ddb.webp,2019,93600.0,gasolina,mecanica,Lima,otro,4.0,tela,1368.0,5
