Age,Brands,Cilinder,Color,Currency,Engine,Fuel_type,KM,Location,Models,Price,Transmission,Upholstery,Urlpic,Version,Year
1.0,SUZUKI,3.0,rojo,USD,1000.0,gasolina,16684.0,Lima,S-PRESSO,9800.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5117209.webp,4x2,2023.0
1.0,DFSK,4.0,blanco,USD,1500.0,gas_glp,11054.0,Lima,GLORY 500,12000.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_1941182.webp,delantera,2023.0
1.0,TOYOTA,4.0,rojo,USD,1300.0,gas_gnv,15500.0,Lima,YARIS,15500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_7103350.webp,delantera,2023.0
4.0,FORD,6.0,blanco,USD,3500.0,gasolina,12500.0,Lima,RAPTOR,75900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/303494/303494_5417536.webp,4x4,2020.0
1.0,KIA,4.0,gris,USD,1999.0,gasolina,52130.0,Lima,SPORTAGE,27900.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4632773.webp,4x2,2023.0
3.0,PEUGEOT,4.0,azul,USD,1600.0,gasolina,45000.0,Lima,3008,28750.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/718667/718667_4406749.webp,otros,2021.0
1.0,DFSK,,otros,USD,1500.0,dual,11050.0,Lima,GLORY 500,12000.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4231845.webp,4x2,2023.0
3.0,AUDI,4.0,rojo,USD,2000.0,gasolina,35000.0,Lima,Q5,44900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/671842/671842_3471745.webp,otros,2021.0
1.0,HYUNDAI,,negro,USD,,dual,14268.0,Lima,ELANTRA,18995.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_6736470.webp,otros,2023.0
1.0,NISSAN,4.0,negro,USD,1600.0,gasolina,890.0,Lima,KICKS,20990.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_4224964.webp,4x2,2023.0
10.0,RENAULT,,blanco,USD,,gasolina,45565.0,Lima,KOLEOS,10985.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_2357295.webp,4x2,2014.0
5.0,NISSAN,,azul,USD,,gasolina,74000.0,Lima,X-TRAIL,17990.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_8106697.webp,4x2,2019.0
6.0,MAZDA,,azul,USD,2000.0,gasolina,66177.0,Lima,CX-5,20500.0,automatica,cuero,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6998749.webp,otros,2018.0
