Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine,Age
SUZUKI,S-PRESSO,4x2,USD,9800.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_5117209.webp,2023.0,16684.0,gasolina,mecanica,Lima,rojo,3.0,tela,1000.0,1.0
DFSK,GLORY 500,delantera,USD,12000.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_1941182.webp,2023.0,11054.0,gas_glp,mecanica,Lima,blanco,4.0,tela,1500.0,1.0
TOYOTA,YARIS,delantera,USD,15500.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_7103350.webp,2023.0,15500.0,gas_gnv,mecanica,Lima,rojo,4.0,tela,1300.0,1.0
FORD,RAPTOR,4x4,USD,75900.0,https://cde.neoauto.pe/autos_usados/360x240/303494/303494_5417536.webp,2020.0,12500.0,gasolina,automatica_secuencial,Lima,blanco,6.0,tela,3500.0,4.0
KIA,SPORTAGE,4x2,USD,27900.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4632773.webp,2023.0,52130.0,gasolina,mecanica,Lima,gris,4.0,cuero,1999.0,1.0
PEUGEOT,3008,otros,USD,28750.0,https://cde.neoauto.pe/autos_usados/360x240/718667/718667_4406749.webp,2021.0,45000.0,gasolina,automatica_secuencial,Lima,azul,4.0,tela,1600.0,3.0
DFSK,GLORY 500,4x2,USD,12000.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_4231845.webp,2023.0,11050.0,dual,mecanica,Lima,Otro,,tela,1500.0,1.0
AUDI,Q5,otros,USD,44900.0,https://cde.neoauto.pe/autos_usados/360x240/671842/671842_3471745.webp,2021.0,35000.0,gasolina,automatica_secuencial,Lima,rojo,4.0,tela,2000.0,3.0
HYUNDAI,ELANTRA,otros,USD,18995.0,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_6736470.webp,2023.0,14268.0,dual,mecanica,Lima,negro,,cuero,,1.0
NISSAN,KICKS,4x2,USD,20990.0,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_4224964.webp,2023.0,890.0,gasolina,automatica,Lima,negro,4.0,tela,1600.0,1.0
RENAULT,KOLEOS,4x2,USD,10985.0,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_2357295.webp,2014.0,45565.0,gasolina,mecanica,Lima,blanco,,cuero,,10.0
NISSAN,X-TRAIL,4x2,USD,17990.0,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_8106697.webp,2019.0,74000.0,gasolina,automatica,Lima,azul,,tela,,5.0
MAZDA,CX-5,otros,USD,20500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_6998749.webp,2018.0,66177.0,gasolina,automatica,Lima,azul,,cuero,2000.0,6.0
MAZDA,CX-5,4x2,USD,22990.0,https://cde.neoauto.pe/autos_usados/360x240/465566/465566_4543233.webp,2023.0,29000.0,gasolina,automatica_secuencial,Lima,Otro,4.0,tela,2000.0,1.0
HONDA,HR-V,otros,USD,29000.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_9376434.webp,2024.0,1734.0,gasolina,automatica,Lima,gris,,cuero,1500.0,0.0
HYUNDAI,ELANTRA,otros,USD,13985.0,https://cde.neoauto.pe/autos_usados/360x240/708742/708742_8842641.webp,2019.0,42599.0,gasolina,mecanica,Lima,plata,,tela,,5.0
MAZDA,3,4x2,USD,7999.0,https://cde.neoauto.pe/autos_usados/360x240/741059/741059_3141868.webp,2012.0,57000.0,gasolina,automatica_secuencial,Lima,blanco,,tela,1600.0,12.0
KIA,SORENTO,4x4,USD,13200.0,https://cde.neoauto.pe/autos_usados/360x240/694113/694113_2869542.webp,2012.0,56000.0,gasolina,automatica,Lima,plata,4.0,tela,2400.0,12.0
JEEP,GRAND CHEROKEE LAREDO,otros,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_5540032.webp,2015.0,63666.0,gasolina,automatica,Lima,gris,,cuero,3600.0,9.0
MAZDA,3 SPORT,otros,USD,21000.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_8413588.webp,2023.0,16187.0,gasolina,automatica,Lima,azul,,tela,2000.0,1.0
AUDI,Q5,otros,USD,27900.0,https://cde.neoauto.pe/autos_usados/360x240/237418/237418_3311659.webp,2019.0,88140.0,gasolina,automatica,Lima,azul,4.0,tela,2000.0,5.0
