Brand,Model,Version,Currency,Price,urlpic,Year,KM,Gastype,Transmision,Location
Toyota,Rav4,2.0L Full 4x2,USD,"u$s8,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rav4/pe/RT_PU_f41404e57e4748c1856f1eeff0eeb3ba.webp,2018,17000 km,gasolina,manual 6 velocidades,Trujillo |La Libertad
KIA,Cerato,1.6L EX Aut,USD,"u$s7,999",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/cerato/pe/RT_PU_a1a8e1382a5f4430b875dc23f41f42e0.webp,2014,156000 km,gasolina,manual 6 velocidades,Lima |Lima
Mazda,3 Sport,2.5L High  Aut,USD,"u$s5,390",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sport/pe/RT_PU_bbf07f5feb7546558dfe5d807295e4da.webp,2015,36000 km,gasolina,manual 6 velocidades,La Unión |Arequipa
MG,3,1.5 Std,USD,"u$s4,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mg/3/pe/RT_PU_9967203c62d346c2bc4d82eae0afb9c1.webp,2014,85000 km,gasolina,manual 6 velocidades,Lima |Lima
Ford,Territory,Titanium Plus,USD,"u$s24,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/territory/pe/RT_PU_1d3680dcf9c74dee81aaa9c137f4589b.webp,2021,29300 km,gasolina,manual 6 velocidades,Lima |Lima
Hyundai,i10,GL 1.1L,USD,"u$s6,250",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/i10/pe/RT_PU_871ee1bda40f4c769fd1ba57c16f4b56.webp,2011,89000 km,gasolina,manual 6 velocidades,Lima |Lima
BMW,Serie 4 Gran Coupé,420i,USD,"u$s45,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-4-gran-coupe/pe/RT_PU_b631e91451ef43219754e12a8dc185a4.webp,2023,1110 km,gasolina,manual 6 velocidades,Lima |Lima
Jeep,Compass,Sport,USD,"u$s12,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/compass/pe/RT_PU_c38324eb97064e0ab762baa452a1d8bf.webp,2013,99000 km,gasolina,manual 6 velocidades,Lima |Lima
Geely,Okavango,Exclusive 1.5 DCT,USD,"u$s22,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/geely/okavango/pe/RT_PU_400fbb2a54624ac788f1fa41b2545fdb.webp,2023,24137 km,gasolina,manual 6 velocidades,Lima |Lima
Toyota,Camry,"Version Sin Siglas L4,2.2i,16v A 2 1",USD,"u$s2,600",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/camry/pe/RT_PU_2100f642b3a2448db64bcae9d26ea8a1.webp,1994,280000 km,gasolina,manual 6 velocidades,Trujillo |La Libertad
KIA,Rio Hatchback,1.4L LX,USD,"u$s11,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/kia/rio-hatchback/pe/RT_PU_080cea50567b42689f10a812e89fa413.webp,2017,56300 km,gasolina,manual 6 velocidades,Lima |Lima
Honda,Civic,1.5L EXT,USD,"u$s4,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_9a5c0e04f483464aa9bbc43c85a75a62.webp,1993,60000 km,gasolina,manual 6 velocidades,Lima |Lima
Mazda,3 Sedán,2.0 Mec Sport,PEN,"$12,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/mazda/3-sedan/pe/RT_PU_384bc6a0771d4caeb70559b96cc4d6a0.webp,2017,118000 km,gasolina,manual 6 velocidades,Trujillo |La Libertad
Jeep,Grand Cherokee,3.6L Laredo 4x4,USD,"u$s36,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_a89ad5f49259498f8f3014b118aa087a.webp,2020,15000 km,gasolina,manual 6 velocidades,Lima |Lima
Volkswagen,Crossfox,1.6L Highline,PEN,"$37,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_bc6257f6fef740488210914d037b19eb.webp,2018,42000 km,gasolina,manual 6 velocidades,Chiclayo |Lambayeque
Toyota,Corolla Cross,2.0L CVT,USD,"u$s22,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla-cross/pe/RT_PU_4323b8e855744829a3c1f80fb8c0d975.webp,2023,14500 km,gasolina,manual 6 velocidades,Lima |Lima
Foton,Tunland,2.8L Full 4x4,USD,"u$s9,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/foton/tunland/pe/RT_PU_20641f8596ba4d0cae1ad1b477974f73.webp,2017,191107 km,gasolina,manual 6 velocidades,Lima |Lima
