iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
0,0,1,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.196425,0.229406,0.221836,-0.025411000000000017,15,0.196425,0.229406,0.221836,-0.025411000000000017
0,1,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.19912,0.222021,0.193075,0.006044999999999995,15,0.19912,0.222021,0.193075,0.006044999999999995
0,2,1,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.194156,0.215548,0.218101,-0.021391999999999994,15,0.194156,0.215548,0.218101,-0.021391999999999994
0,3,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.202912,0.224825,0.225222,-0.021912999999999988,15,0.202912,0.224825,0.225222,-0.021912999999999988
0,4,4,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.200738,0.217549,0.20028,0.0004579999999999862,15,0.200738,0.217549,0.20028,0.0004579999999999862
0,5,2,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.199539,0.226218,0.206133,-0.0065940000000000165,15,0.199539,0.226218,0.206133,-0.0065940000000000165
0,6,4,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.197544,0.214059,0.203779,-0.0062349999999999905,15,0.197544,0.214059,0.203779,-0.0062349999999999905
0,7,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.197433,0.237354,0.205545,-0.008112000000000008,15,0.197433,0.237354,0.205545,-0.008112000000000008
0,8,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.193001,0.230303,0.205559,-0.012557999999999986,15,0.193001,0.230303,0.205559,-0.012557999999999986
0,9,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.209329,0.21269,0.184393,0.024935999999999986,15,0.209329,0.21269,0.184393,0.024935999999999986
0,10,3,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.202684,0.227294,0.231032,-0.024609999999999993,15,0.202684,0.227294,0.231032,-0.024609999999999993
0,11,0,"{'alpha': 0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 10, 'reg_lambda': 0.01, 'subsample': 0.7}",16,15,0.199371,0.207991,0.206498,-0.0071269999999999945,15,0.199371,0.207991,0.206498,-0.0071269999999999945
