iter,seed,cv_fold,params,n_trees,opt_n_trees,opt_train,opt_val,opt_test,opt_overfitting,best_n_trees,best_train,best_val,best_test,best_overfitting
8,0,2,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.14191,0.147269,0.116066,0.025844000000000006,15,0.14191,0.147269,0.116066,0.025844000000000006
8,1,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.143988,0.158608,0.134101,0.009887000000000007,15,0.143988,0.158608,0.134101,0.009887000000000007
8,2,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.146105,0.157424,0.16123,-0.011318999999999996,15,0.146105,0.157424,0.16123,-0.011318999999999996
8,3,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.145847,0.157659,0.157083,-0.011235999999999996,15,0.145847,0.157659,0.157083,-0.011235999999999996
8,4,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.14682,0.175875,0.141973,0.004847000000000018,15,0.14682,0.175875,0.141973,0.004847000000000018
8,5,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.14864,0.173964,0.151185,-0.0025450000000000195,15,0.14864,0.173964,0.151185,-0.0025450000000000195
8,6,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.141745,0.155126,0.146802,-0.005056999999999978,15,0.141745,0.155126,0.146802,-0.005056999999999978
8,7,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.138925,0.166191,0.143017,-0.004092000000000012,15,0.138925,0.166191,0.143017,-0.004092000000000012
8,8,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.134291,0.154926,0.134062,0.00022900000000000698,15,0.134291,0.154926,0.134062,0.00022900000000000698
8,9,0,"{'alpha': 0.5, 'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1, 'subsample': 0.5}",16,15,0.152703,0.150359,0.127175,0.025527999999999995,15,0.152703,0.150359,0.127175,0.025527999999999995
